id,value
ITGA9,1
ITGB7,1
ITPR1,1
KAT2B,1
KAT6B,1
KAZN,1
KCNE4,1
KCNH1,1
KCNJ5,1
KCNMB2,1
KCNN3,1
KCNN4,1
KDM3B,1
KIAA0825,1
KIAA1324,1
KIF13A,1
KIF1B,1
KIF23,1
KLF4,1
KLHL18,1
KLLN,1
KRT18,1
KRT8,1
LAMA1,1
LAMC1,1
LCOR,1
LDLR,1
LDLRAD4,1
LEPR,1
LGR6,1
LILRB4,1
LIMK2,1
LIN28B,1
LINC00189,1
LINC00673,1
LINC01081,1
LINC01114,1
LINC01122,1
LINC01173,1
LINC01246,1
LINC01276,1
LINC01411,1
LINC01475,1
LINC01488,1
LIPG,1
LMBRD2,1
LMOD1,1
LOC100130207,1
LOC100507516,1
LOC100652871,1
LOC100996325,1
LOC100996521,1
LOC100996886,1
LOC101926973,1
LOC101927026,1
LOC101927067,1
LOC101927115,1
LOC101927285,1
LOC101927357,1
LOC101927549,1
LOC101927619,1
LOC101927764,1
LOC101927766,1
LOC101927835,1
LOC101928174,1
LOC101928196,1
LOC101928354,1
LOC101928449,1
LOC101928570,1
LOC101928635,1
LOC101928923,1
LOC101928989,1
LOC101929163,1
LOC101929231,1
LOC101929241,1
LOC102723370,1
LOC102723507,1
LOC102723724,1
LOC102723803,1
LOC102724001,1
LOC102724351,1
LOC102724446,1
LOC105369213,1
LOC105369540,1
LOC105369625,1
LOC105370113,1
LOC105370243,1
LOC105370401,1
LOC105370847,1
LOC105370988,1
LOC105371427,1
LOC105371677,1
LOC105372091,1
LOC105372225,1
LOC105372441,1
LOC105372710,1
LOC105372774,1
LOC105372813,1
LOC105372815,1
LOC105373587,1
LOC105373899,1
LOC105373962,1
LOC105374265,1
LOC105374300,1
LOC105374334,1
LOC105374510,1
LOC105374618,1
LOC105374638,1
LOC105374660,1
LOC105375340,1
LOC105375739,1
LOC105375930,1
LOC105376442,1
LOC105376554,1
LOC105376718,1
LOC105376755,1
LOC105376850,1
LOC105376854,1
LOC105377110,1
LOC105377436,1
LOC105377564,1
LOC105377700,1
LOC105377732,1
LOC105377736,1
LOC105378141,1
LOC105378522,1
LOC105378861,1
LOC105378980,1
LOC105379076,1
LOC105379082,1
LOC105379168,1
LOC105379315,1
LOC107984214,1
LOC107984427,1
LOC107984559,1
LOC107985174,1
LOC107985515,1
LOC107985769,1
LOC107985861,1
LOC107985961,1
LOC107986051,1
LOC107986152,1
LOC107986166,1
LOC107986170,1
LOC107986820,1
LOC107986952,1
LOC107987043,1
LOC151121,1
LOC285423,1
LOC63930,1
LRP1,1
LRRC31,1
LSAMP,1
MACC1,1
MAD1L1,1
MAGEH1,1
MAP1LC3B2,1
MAP2K7,1
MATN2,1
MCF2L,1
MCL1,1
MDFI,1
MED24,1
MEN1,1
METTL11B,1
METTL3,1
MGAT4A,1
MGAT5B,1
MICA,1
MIER2,1
MIS12,1
MITF,1
MLL2,1
MLPH,1
MLXIP,1
MMP7,1
MMP9,1
MOB3B,1
MORC1,1
MRPL19,1
MS4A5,1
MSRA,1
MTCL1,1
MTHFR,1
MTMR3,1
MTUS2,1
MX2,1
MXI1,1
MYCL,1
MYCN,1
MYO1D,1
